Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
278119.5153,60226.88805,148623.4521,228412.8764,10866.97479,13114.88608,164095.3016,191.371397,188760.314,17278.78575,14696.0395,772067.8617,009
2749.542156,822.404446,734007.6344,34410.93937,37.451566,249.691504,6987.457102,104.872489,56931.68039,4707.129513,2666.653034,9707.297828,009
665.528856,1606.992797,339082.1711,9244.065765,3093.395139,275.256898,1838.777967,6295.213871,16401.02172,2083.354751,1925.026349,2565.130458,009
280510.1749,60279.6673,147429.0025,230819.8835,11149.1602,12862.82455,162609.1738,246.040215,191528.453,17755.32184,14827.33632,775714.7882,009
2699.459874,745.29587,737672.5438,34455.06457,46.800072,283.993772,6954.944575,116.483767,57318.05143,4812.698264,2345.875168,9926.011758,009
655.401086,1530.397464,340491.4449,9374.967858,3005.132715,259.365531,1698.175705,6262.871156,16886.22069,2276.503622,1971.226709,2568.667195,009
753295.6826,254350.5735,178314.085,227568.7527,3703.564918,1093.047682,145124.9713,499.034791,219344.7325,17852.95153,12754.97106,1329469.26,009
5714.701902,1962.368414,792250.4909,32298.45368,16.995315,92.918984,7310.58342,74.432983,60744.50564,5378.255741,2922.067157,13344.67662,009
1440.854932,1693.729759,362379.2856,9247.49831,3159.607271,87.558637,2223.968144,6282.092426,18100.32406,2501.901515,2063.718705,3365.716384,009
750052.8321,254592.8736,177944.9453,225600.1396,3573.299946,912.592921,145455.8995,372.663075,218034.1959,18141.44808,12166.24342,1325643.11,009
5445.767049,1947.867689,791428.7768,32838.51878,47.407863,31.333825,7380.941022,122.69908,60894.5044,5098.35237,3226.469007,13404.12872,009
1381.175749,1789.539947,360852.1441,9227.074189,3270.118439,171.079144,1953.702731,6452.127991,17813.98672,2368.395865,2016.262772,3365.568928,009
1799937.749,576167.2883,250911.1518,608775.2568,8423.264229,1709.552801,537870.0892,415.335985,231823.1089,17580.8656,13744.93572,984891.1256,010
16969.70038,5209.029785,1484107.414,99273.38386,89.79605,72.618276,48450.1607,71.803582,81930.87803,5622.781822,12024.04134,12624.87421,010
4187.480365,2363.805708,773200.3593,30366.25759,2275.659992,119.046991,13866.88084,4293.967774,27826.71694,2853.88945,5870.641395,3659.906586,010
738097.2869,155609.1677,220914.3012,561427.2223,9187.876212,12543.19593,481446.9214,371.64986,217608.3945,16276.62617,13964.76303,598000.2287,010
8669.299053,2060.541754,1382054.258,93038.59072,39.321833,267.75651,43975.24688,83.730014,76631.72308,5254.789892,11099.19141,8963.399352,010
2132.072001,1529.157364,711748.6862,27964.23863,2280.49465,105.971452,12389.63859,4433.146376,25338.18881,2824.577587,5551.082314,2645.740563,010
1800693.661,577735.5996,251497.6537,606546.0118,8537.999774,1562.14645,538994.518,423.923898,232167.3064,18337.36317,13899.85755,984820.9566,010
16865.81301,5263.090674,1484292.293,99527.72334,47.415616,122.060186,48759.53197,47.15595,82227.28093,5780.089809,11581.01175,12643.72592,010
4434.518885,2275.070945,774285.5837,30933.23812,2079.252853,86.067631,14135.4813,4168.620897,27684.02616,2924.790385,5964.902515,3532.401097,010
1920345.455,465493.9192,259000.7909,522368.2711,12581.78127,1010.618288,598810.3307,810.325808,178821.2528,19606.38493,18575.43215,160345.2056,011
17079.66746,3818.301467,1507908.716,80489.9375,82.598185,19.278473,50855.21851,55.046352,58465.36283,5136.435624,18197.40673,1977.084388,011
4383.096641,2055.983424,754972.7932,24690.01398,2557.55201,313.611141,14285.6746,4508.851182,18979.27146,2292.901279,8915.947802,705.95937,011
1923479.529,466297.6513,258868.8372,527100.7837,12380.45287,1059.095672,597755.4907,861.054231,179242.8301,19034.85517,18814.96061,161071.604,011
17093.53745,3849.538097,1508783.574,80361.45142,53.529781,28.00976,50843.48342,39.679661,57948.95225,5149.651331,18028.38507,1992.738578,011
4410.785053,1981.383121,756843.4718,24474.23138,2295.900859,137.848138,14503.56684,4964.569316,18749.38862,2439.281536,8678.625211,692.861388,011
143915.7855,29192.71859,18396.63053,25683.16562,711.702247,14136.19334,73367.99981,70.892808,23649.35768,2868.104756,1286.67382,22272.41889,013
1476.943724,374.036867,103373.7469,3239.231899,38.620584,83.430673,5828.328733,31.110482,7613.593254,818.722674,645.376576,218.739682,013
499.43896,1220.661064,62510.85049,1044.881924,1886.736346,239.053154,1768.12556,4074.586971,2409.864854,659.825873,1378.160612,352.872669,013
650646.2281,120872.2083,210631.7518,192740.4283,12875.48494,12104.47844,542974.8059,76.273114,225053.1129,22930.24661,15384.00872,666923.0092,013
7695.64334,1585.428174,1253750.707,33242.10672,47.747645,322.91726,34478.05786,50.216022,81528.02871,7737.542069,6283.793987,9635.614852,013
2098.173965,1436.810624,608962.1674,9935.836756,2609.858731,234.191373,9869.702194,5029.599479,26930.59282,3356.552785,3162.117181,2646.710573,013
949838.8862,275620.1369,180062.7148,164841.146,4883.175323,1026.750775,274658.432,8680.608925,164641.3537,18301.52974,11597.662,1399837.933,013
8814.477142,2566.758764,990278.4481,26751.57155,89.107736,118.879829,23942.70714,180.315013,56305.22076,5584.976959,4342.560256,20406.81454,013
