Si,Al,Fe,Ca,Mg,P,K,Na,Ti,V,Mn,S,File
11024.901434,2611.556978,906693.52905,194787.350037,36.063794,29.65159,17378.831093,48.555222,48276.325451,3974.846505,10965.386308,12685.072445,014
2587.382473,1717.730854,463322.661522,59715.176441,2437.581245,84.180283,4851.686367,4736.560318,15443.760372,1754.588674,5673.871736,3571.16654,014
1185675.547956,296590.884216,158335.034544,1052588.866134,6988.237975,1431.630856,241553.734444,233.60916,142770.761078,12468.50139,14680.446807,1036127.600511,014
10926.502435,2666.498024,901238.340015,193898.467804,39.630868,69.123948,17490.913144,86.814937,47477.476473,3706.248524,10998.582713,13010.115107,014
2600.882584,1603.9132,460593.858706,59491.373911,2470.31095,106.922633,4717.736932,4848.269405,15162.91877,1991.779206,5587.439229,3385.754854,014
444465.343821,74966.374475,135370.029032,901479.594907,11127.469529,13514.78505,220435.76424,325.334904,122214.941522,11734.855511,16292.379286,599902.845522,014
5053.69048,1011.885544,835161.135005,174798.6162,54.325368,178.290219,14646.728268,80.455545,42362.610791,3577.701596,10149.704532,8794.420447,014
1294.218189,1508.155806,437030.205073,53956.110497,2647.110445,224.114862,3778.141647,4760.363661,12977.6106,1987.401975,5398.320044,2376.192743,014
932736.737878,159215.341146,197772.35119,175545.446651,9879.307023,14037.582072,485705.651116,226.570549,259874.467942,23673.418222,13606.289784,404261.551056,015
10594.22924,1874.396172,1179713.963774,27457.791523,52.918131,380.077172,43404.731904,54.807975,90011.267067,7961.15709,4386.939613,5363.301897,015
2734.875362,1515.672385,564089.716165,8050.180372,2503.684717,174.08871,11673.270536,5022.730803,28558.658024,3760.742528,2719.216979,1687.566638,015
295829.136385,43339.092056,139503.045165,424610.563998,11823.759404,14216.829028,263255.257394,125.511851,167314.488246,15799.890918,15649.928374,519052.270081,017
3270.73912,683.798129,693648.581015,73661.726637,63.590994,278.590672,8742.641578,101.749121,52062.282951,5002.380464,4733.941139,6548.871595,017
998.213614,1596.906181,324478.745459,20473.206062,3011.598174,371.965156,2271.556903,6623.741336,15555.13592,2438.705606,2759.185446,1806.77536,017
478223.594597,172856.109094,88916.416931,312294.437389,4625.634354,1289.845594,163823.991684,69.491161,133507.494343,13148.344204,13617.673463,682083.546254,1081
3568.954906,1402.669532,352185.855277,42582.796742,44.447381,124.527802,6903.125406,111.034864,36600.605809,3920.125407,1213.406976,6585.761097,1081
